school_code,udise_code,hss_code,vhse_code,name,type,level,established_year,address,pin_code,district,sub_district,education_district,assembly_constituency,parliament_constituency,latitude,longitude,is_coastal_area,is_hilly_area,principal_name,head_master_name,description,source_url,hse_start_year
17225,32041400807.0,,,M. M. L. P. SParappil,Aided,1 - 4,1918.0,PARAPPIL,673003,Kozhikode,Kozhikode City,Kozhikode,Kozhikode South,Kozhikode,11.238755,75.776697,True,True,,JAZEEKKA P,"M. M. L. P. SParappil is a Aided educational institution established in 1918. Situated in the district of Kozhikode, it offers classes for levels 1 - 4. The campus spans across 3 and features 25 classrooms.",https://sametham.kite.kerala.gov.in/17225,
11090,32010200426.0,,,"ST.MARY'S HIGHSCHOOL, BELA",Unaided Recognised,5 - 10,2015.0,Bela,671321,Kasaragod,Kumbla,Kasaragod,Kasaragod,Kasaragod,,,True,True,,Jancy Isaac,"ST.MARY'S HIGHSCHOOL, BELA is a Unaided Recognised educational institution established in 2015. Situated in the district of Kasaragod, it offers classes for levels 5 - 10. The campus spans across 2.87 and features 21 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/11090,
17460,32040200613.0,,,A. U. P. S.Ichannur.,Aided,1 - 7,1924.0,Kannankara,673616,Kozhikode,Chevayur,Kozhikode,Elathur,Kozhikode,11.366741,75.796875,True,True,,Sajini.K,"A. U. P. S.Ichannur. is a Aided educational institution established in 1924. Situated in the district of Kozhikode, it offers classes for levels 1 - 7. The campus spans across 70.25 cent and features 17 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab and a Playground.",https://sametham.kite.kerala.gov.in/17460,
47424,32040200704.0,,,GMLPS NEDIYANAD,Government,1 - 4,1927.0,NARIKKUNI,673585,Kozhikode,Koduvally,Thamarassery,Koduvally,Kozhikode,11.389863,75.877801,True,True,,SHANILA. P,"GMLPS NEDIYANAD is a Government educational institution established in 1927. Situated in the district of Kozhikode, it offers classes for levels 1 - 4. The campus spans across 69 cent and features 6 classrooms. Students have access to excellent facilities including a Computer Lab, a Playground, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/47424,
31228,32101200408.0,,,St.Joseph`s L P SVellilapally,Aided,1 - 4,1916.0,Vellilappilly,686576,Kottayam,Ramapuram,Pala,Pala,Kottayam,9.788233,76.66229099999998,True,True,,MINI M MATHEW,"St.Joseph`s L P SVellilapally is a Aided educational institution established in 1916. Situated in the district of Kottayam, it offers classes for levels 1 - 4. The campus spans across .86 and features 4 classrooms. Students have access to excellent facilities including a Playground.",https://sametham.kite.kerala.gov.in/31228,
23240,32070204101.0,,,G U P S MALAKKAPPARA,Government,1 - 7,1960.0,malakkapara,680721,Thrissur,Chalakudy,Irinjalakuda,Chalakudy,Chalakudy *,10.260126,76.895897,True,True,,BEULA ELIZABATH A,"G U P S MALAKKAPPARA is a Government educational institution established in 1960. Situated in the district of Thrissur, it offers classes for levels 1 - 7. The campus spans across 0.6 Acre and features 6 classrooms. Students have access to excellent facilities including a Playground.",https://sametham.kite.kerala.gov.in/23240,
26419,32081301002.0,,,M.D.M.L.P.S.Karingachira,Aided,1 - 4,1893.0,karingachira,682309,Ernakulam,Thripunithura,Ernakulam,Piravam,Kottayam,9.952029,76.357303,True,True,,Sheelamma Kuriakose,"M.D.M.L.P.S.Karingachira is a Aided educational institution established in 1893. Situated in the district of Ernakulam, it offers classes for levels 1 - 4. The campus spans across 1acr and features 8 classrooms. Students have access to excellent facilities including a Computer Lab and a Playground.",https://sametham.kite.kerala.gov.in/26419,
32072,32100200203.0,,,"Govt H.S, Kappadu",Government,1 -10,1915.0,kappadu,686508,Kottayam,Erattupetta,Kanjirappally,Kanjirappally,Pathanamthitta *,,,True,True,,SHEEJA MOL T H,"Govt H.S, Kappadu is a Government educational institution established in 1915. Situated in the district of Kottayam, it offers classes for levels 1 -10. The campus spans across 1 Acre and features 10 classrooms. Students have access to excellent facilities including a Computer Lab and a Science Lab.",https://sametham.kite.kerala.gov.in/32072,
47061,32040601001.0,10038.0,,Markaz HSS Karanthur,Aided,5 - 12,1982.0,karanthur,673571,Kozhikode,Kunnamangalam,Thamarassery,Kunnamangalam,Kozhikode,11.303962,75.870058,False,False,Abdussaleem P,MOHAMMED BASHEER P,"Markaz HSS Karanthur is a Aided educational institution established in 1982. Situated in the district of Kozhikode, it offers classes for levels 5 - 12. The campus spans across 5Acra and features 70 classrooms. Students have access to excellent facilities including a Computer Lab, a Science Lab, a Playground, a Multi Media Room and an Auditorium.",https://sametham.kite.kerala.gov.in/47061,1998.0
14369,32020400513.0,,,Sivaprakasam UPS,Aided,1 - 7,1928.0,PARAMBAYI,670741,Kannur,Thalassery North,Thalassery,Dharmadam,Kannur,11.827471,75.51679,True,True,,SUCHITHRA MATTANGOT,"Sivaprakasam UPS is a Aided educational institution established in 1928. Situated in the district of Kannur, it offers classes for levels 1 - 7. The campus spans across 0.75 and features 10 classrooms. Students have access to excellent facilities including a Computer Lab, a Playground and a Multi Media Room.",https://sametham.kite.kerala.gov.in/14369,
