school_code,position_title,sanctioned_posts
17058,High School Assistant Urdu,1
17058,Office Attendant (15 Yrs HG),1
17058,Office Attendant Gr II (8 Yrs HG),1
17059,Clerk,2
17059,Full time Hindi  Teacher,1
17059,High School Assistant,2
17059,High School Assistant English(HG),4
17059,High School Assistant Hindi,1
17059,High School Assistant Malayalam,2
17059,High School Assistant Malayalam(HG),3
17059,High School Assistant Malayalam(Snr Gr),1
17059,High School Assistant Mathematics,1
17059,High School Assistant Mathematics (Sel Gr),1
17059,High School Assistant Natural Science (Snr Gr),1
17059,High School Assistant Physical Science,3
17059,High School Assistant Social Science (HG),2
17059,High School Assistant Social Science(HG),2
17059,L P School Assistant,4
17059,L P School Assistant (HG),1
17059,L P School Assistant (Sel.Gr),1
17059,L P School Assistant HG,3
17059,L P School Assistant(Before 11/04/2013),1
17059,Office Attendant,2
17059,P D Teacher (Selection Grade),4
17059,Sewing Teacher,1
17059,Teacher (L P School) Gr II,3
17059,UP School Assistant (HG),1
17059,UP School Assistant Gr I,2
17062,Clerk,1
17062,Headmaster/Headmistress (High School),1
17062,High School Assistant,1
17062,High School Assistant Mathematics,1
17062,High School Assistant Physical Science,2
17062,Junior Arabic Teacher Gr II,1
17062,L P School Assistant,3
17062,Office Attendant,1
17062,P D Teacher (Selection Grade),4
17062,UP School Assistant,3
17062,UP School Assistant Gr I,2
17073,FTM,1
17073,High School Assistant English(HG),1
17073,High School Assistant Hindi(Sel. Gr),1
17073,High School Assistant Natural Science (HG),1
17073,Office Attendant Gr I (22 Yrs HG),1
17073,Teacher (U P School) Gr II,1
17073,Teacher (U P School) Sel Gr,1
17074,Headmaster/Headmistress,1
17074,High School Assistant English,2
17074,High School Assistant Hindi(Snr. Gr),2
17074,High School Assistant Malayalam(Snr Gr),1
17074,High School Assistant Physical Science(HG),1
17074,High School Assistant Urdu,1
17074,Office Attendant Gr II,1
17074,Teacher (LP/UP) - Hindi (Sr Gr),1
17074,UP School Assistant (Snr Gr),2
17075,Drawing Teacher,1
17075,High School Assistant,3
17075,High School Assistant (HG),1
17075,High School Assistant (Urdu) (Part Time),1
17075,High School Assistant Arabic,1
17075,High School Assistant English(HG),6
17075,High School Assistant Mathematics (HG),4
17075,High School Assistant Natural Science (HG),5
17075,High School Assistant Physical Science,9
17075,High School Assistant Social Science,2
17075,High School Assistant Social Science (Snr Grade),1
17075,Junior Hindi Teacher Gr I,1
17075,L P School Assistant (Snr Gr),1
17075,Office Attendant,1
17075,Office Attendant Gr II,1
17075,P D Teacher (Selection Grade),1
17075,Part Time Menial(4850-7500),1
17075,Sewing Teacher,1
17075,Teacher (U P School) Gr II,1
17075,UP School Assistant (Snr Gr),1
17076,Clerk,2
17076,Headmaster/Headmistress(promotion 18740-31360),1
17076,High School Assistant  (Sel. Gr),1
17076,High School Assistant English (Snr Gr),3
17076,High School Assistant English(HG),2
17076,High School Assistant Hindi,2
17076,High School Assistant Hindi(Sel. Gr),1
17076,High School Assistant Malayalam,1
17076,High School Assistant Mathematics,2
17076,High School Assistant Physical Science(Sel Gr),2
17076,High School Assistant Physical Science(Sel. Gr),1
17076,High School Assistant Social Science,1
17076,L P School Assistant (Snr Gr),1
17076,Physical Education Teacher (Sel Gr),1
17076,Sewing Teacher(Snr. Gr),1
17076,Teacher (L P School) Gr II,1
17076,UP School Assistant (HG),1
17076,UP School Assistant (Sel Gr),2
17076,UP School Assistant Gr I,2
17078,High School Assistant Arabic (HG),1
17078,High School Assistant Arabic (Snr Gr),1
17078,High School Assistant English (Snr Gr),1
17078,High School Assistant English(HG),3
17078,High School Assistant Hindi,1
17078,High School Assistant Mathematics,1
17078,High School Assistant Natural Science,1
17078,High School Assistant Physical Science,2
17078,High School Assistant Social Science,3
17078,High School Assistant Urdu,1
17078,Junior Hindi Teacher (Sr Gr),1
17078,Lower Grade Hindi,1
17078,Office Attendant (15 Yrs HG),1
17078,Office Attendant Gr I,1
17078,Teacher (LP/UP) - Arabic (Grade II),2
17078,Teacher (U P School) Gr II,8
17078,UP School Assistant,6
17078,UP School Assistant (HG),3
17078,UP School Assistant (Snr Gr),1
17079,High School Assistant Arabic (HG),1
17079,High School Assistant English,4
17079,High School Assistant English (Snr Gr),1
17079,High School Assistant Malayalam,4
17079,High School Assistant Malayalam(Snr Gr),1
17079,High School Assistant Mathematics,2
17079,High School Assistant Mathematics (HG),1
17079,High School Assistant Natural Science,2
17079,High School Assistant Physical Science(Snr. Gr),1
17079,High School Assistant Sanskrit,1
17079,LD Clerk HG,1
17079,Office Attendant Gr II,1
17079,Part Time Sweeper(4850-7500),1
17081,Clerk,1
17081,FTM,1
17081,High School Assistant (Sanskrit) (Part Time),1
17081,High School Assistant Malayalam,1
17081,High School Assistant Social Science (HG),1
17083,Headmaster/Headmistress (High School),1
17083,High School Assistant,1
17083,High School Assistant Arabic,1
17083,High School Assistant English,2
17083,High School Assistant Malayalam(HG),1
17083,High School Assistant Mathematics (HG),1
17083,High School Assistant Natural Science (HG),1
17083,High School Assistant Physical Science,2
17083,High School Assistant Sanskrit,1
17083,High School Assistant Social Science (HG),1
17083,Office Attendant,1
17083,Office Attendant Gr I,1
17083,Office Attendant Gr II,1
17083,Sewing Teacher,2
17086,FTM,2
17086,High School Assistant,1
17086,High School Assistant (Urdu) (Part Time),1
17086,High School Assistant English,1
17086,High School Assistant Hindi(Snr. Gr),1
17086,High School Assistant Natural Science,2
17086,High School Assistant Physical Science,1
17086,High School Assistant Physical Science(Sel. Gr),1
17086,High School Assistant Sanskrit (Part Time),1
17086,Office Attendant (15 Yrs HG),1
17086,Physical Education Teacher(Before 11/04/2013),1
17091,Drawing Teacher Snr Gr,1
17091,Headmaster/Headmistress HG (High School),1
17091,High School Assistant (Sr Gr),1
17091,High School Assistant English,1
17091,High School Assistant Hindi(Snr. Gr),1
17091,High School Assistant Malayalam,1
17091,High School Assistant Physical Science (HG),2
17091,High School Assistant Social Science (Snr Grade),1
17091,High School Assistant Urdu (Sel Gr),1
17091,Needle Work Teacher HG,1
17091,Office Attendant Gr II,1
17091,Teacher (L P School)(Sel Gr),1
17091,Teacher (L P School)(Snr Gr),2
17091,Teacher (LP/UP) - Hindi (Grade I),1
17091,Teacher (U P School) Snr Gr,3
17092,Clerk,2
17092,Headmaster/Headmistress,1
17092,High School Assistant,2
17092,High School Assistant (HG),1
17092,High School Assistant Arabic (HG),1
17092,High School Assistant English,3
17092,High School Assistant Hindi,1
17092,High School Assistant Hindi(Snr. Gr),1
17092,High School Assistant Malayalam,1
17092,High School Assistant Mathematics (15 Yrs HG),3
17092,High School Assistant Natural Science,2
17092,Lower Grade Arabic HG,1
17092,Physical Education Teacher,1
17092,Sewing Teacher,1
17092,Teacher (LP/UP) - Arabic (Grade II),1
17092,Teacher (U P School) Gr II,5
17092,UP School Assistant,5
17092,UP School Assistant (Snr Gr),1
17093,Drawing Teacher Gr II,1
17093,FTM,1
17093,High School Assistant,1
17093,High School Assistant Arabic,1
17093,High School Assistant English,3
17093,High School Assistant Malayalam,3
17093,High School Assistant Mathematics,1
17093,High School Assistant Mathematics (Sel Gr),1
17093,High School Assistant Natural Science (HG),3
17093,Junior Arabic Teacher Gr II,2
17093,Junior Hindi Teacher Gr I,1
17093,L P School Assistant (Snr Gr),1
17093,P D Teacher (Selection Grade),3
17093,Physical Education Teacher (15 Yrs Higher Grade),1
17093,Senior Clerk,1
17093,Teacher (L P School)(Snr Gr),1
17097,FTM,2
17097,High School Assistant (Sanskrit) (Part Time with Full Time Benefit),1
17097,High School Assistant English,2
17097,High School Assistant English (Snr Gr),1
17097,High School Assistant Hindi,1
17097,High School Assistant Hindi(HG),1
17097,High School Assistant Malayalam(Sel. Grade),1
17097,High School Assistant Mathematics (Snr Gr),1
17097,High School Assistant Natural Science (Sel Gr),2
17097,High School Assistant Physical Science(Sel Gr),1
17097,High School Assistant Sel Gr,2
17097,High School Assistant Social Science (HG),1
17097,High School Assistant(Urdu) Part Time,1
17097,Physical Education Teacher (8 Years HG),1
17100,Clerk,1
17100,FTM,1
17100,High School Assistant Mathematics,1
17100,High School Assistant Physical Science (HG),1
17100,High School Assistant malayalam(HG 18740-33680),1
17100,Teacher (L P School) Gr II,2
17100,Teacher (U P School) Gr II,2
17107,Clerk,1
17107,High School Assistant Arabic (HG),1
17107,High School Assistant English (Snr Gr),2
17107,High School Assistant Malayalam,1
17107,High School Assistant Social Science,1
17107,High School Assistant Social Science (Snr Grade),2
17107,Office Attendant (8 Yrs HG),2
17107,Office Attendant Gr I (15 Yrs HG),1
17107,Physical Education Teacher (Sel Gr),1
17110,Clerk,1
17110,FTM,1
17110,High School Assistant (Sanskrit) (Part Time with Full Time Benefit),1
17110,High School Assistant English(HG),2
17110,High School Assistant Hindi,1
17110,High School Assistant Hindi(HG),1
17110,High School Assistant Malayalam,3
17110,High School Assistant Mathematics (HG),1
17110,High School Assistant Natural Science,2
17110,High School Assistant Social Science,1
17110,Office Attendant,1
17110,Sewing Teacher,1
17111,Headmaster/Headmistress (High School),1
17111,High School Assistant Arabic,1
17111,High School Assistant English,3
17111,High School Assistant Mathematics,3
17111,High School Assistant Physical Science,3
17111,High School Assistant Social Science,2
17111,L P School Assistant,5
17111,Music Teacher,1
17111,P D Teacher (Senior Grade),5
17111,Physical Education Teacher,2
17111,Senior Clerk,1
17111,Teacher (U P School) Gr II,1
17111,UP School Assistant,6
17111,UP School Assistant (HG),1
17201,Headmaster LP/UP (HG),1
17201,Teacher (L P School)(Snr Gr),2
17202,Headmistress LP/UP,1
17202,L P School Assistant,3
17202,P D Teacher (Senior Grade),1
17203,Headmaster/Headmistress LP/UP,1
17203,L P School Assistant,1
17203,Teacher (L P School) Gr II,3
17203,Teacher (L P School)(Sel Gr),1
17204,Headmaster LP/UP,1
17204,L P School Assistant,2
17205,Headmaster/Headmistress LP/UP,1
17205,L P School Assistant,2
17206,Headmaster LP/UP (HG),1
17206,L P School Assistant,9
17206,Teacher (L P School) Gr II,2
17207,Headmaster LP/UP,1
17207,Part-Time Mineal (BP 3000),1
17207,Teacher (L P School) Gr II,2
17208,Junior Arabic Teacher Gr II,1
17208,L P School Assistant,3
17209,Headmaster LP/UP,1
17209,L P School Assistant,1
17209,Part Time Sweeper(4850-7500),1
17210,Headmaster LP/UP (HG),1
17210,Teacher (L P School) Gr II,3
17210,Teacher (L P School)(Snr Gr),1
17211,Headmaster/Headmistress(Not Eligi HM 18740-33680),1
17211,L P School Assistant,1
17211,Teacher (L P School) Gr II,1
17212,Headmaster LP/UP,1
17212,Part Time Menial,1
17212,Teacher (LP/UP) - Arabic (Grade II),1
17213,Headmaster/Headmistress LP/UP,1
17213,Part Time Menial,1
17213,Teacher (L P School) Gr I,1
17214,Headmaster LP/UP (HG),1
17214,L P School Assistant,2
17214,Part Time Language Teacher (Primary),1
17215,Headmaster LP/UP (HG),1
17215,L P School Assistant,2
17215,Teacher (LP/UP) - Arabic (Senior Grade),1
17216,Teacher (L P School) Gr I,3
17217,Headmaster/Headmistress LP/UP,1
17217,Junior Arabic Teacher Gr II,1
17217,L P School Assistant (Snr Gr),1
17217,Teacher (L P School) Gr I,2
17217,UP School Assistant,1
17218,Headmaster/Headmistress LP/UP,1
17218,Teacher (L P School) Gr II,2
17218,Teacher (L P School)(Snr Gr),1
17219,Teacher (L P School)(Snr Gr),2
17220,Headmaster/Headmistress LP/UP,1
17220,Junior Arabic Teacher Gr II,1
17220,Teacher (L P School)(Sel Gr),1
17221,Headmaster/Headmistress LP/UP,1
17221,Junior Arabic Teacher Gr II,1
17221,Teacher (L P School) Gr II,1
17222,Teacher (L P School) Gr II,2
17223,L P School Assistant,1
17223,L P School Assistant (Sel.Gr),1
17224,Headmaster/Headmistress LP/UP,1
17224,Teacher (LP/UP) - Arabic (Grade II),1
17225,Headmaster/Headmistress LP/UP,1
17225,Junior Arabic Teacher (Snr Gr),2
17225,L P School Assistant (Snr Gr),8
17225,L P School Assistant HG,1
17225,Teacher (L P School)(Snr Gr),1
17226,L P School Assistant (Sel.Gr),1
17226,Primary Teacher (Arabic) (Part-Time),1
17227,Headmaster LP/UP (HG),1
17227,Lower Grade Arabic HG,1
17228,Headmaster/Headmistress LP/UP,1
17228,Teacher (L P School) Gr II,1
17229,Teacher (L P School) Gr II,1
17229,Teacher (L P School)(Sel Gr),4
17229,Teacher (L P School)(Snr Gr),2
17230,Junior Arabic Teacher (Sel Gr),1
17231,Headmaster LP/UP,1
17231,Junior Arabic Teacher Gr I,1
17231,L P School Assistant (Sel.Gr),1
17232,L P School Assistant (HG),1
17232,L P School Assistant(Before 11/04/2013),1
17234,Headmistress LP/UP,1
17234,Junior Arabic Teacher Gr I,1
17234,Junior Hindi Teacher Gr II,1
17234,Office Attendant,1
17234,P D Teacher,1
17234,P D Teacher (Selection Grade),1
17234,Physical Education Teacher,2
17234,Teacher (LP/UP) - Hindi (Grade II),1
17234,UP School Assistant,9
17235,Headmaster LP/UP,1
17235,Part Time Language Teacher (Primary),1
17235,Teacher (L P School) Gr I,1
17235,Teacher (L P School) Gr II,1
17235,Teacher (U P School) Gr II,1
17236,Headmaster/Headmistress LP/UP,1
17236,P D Teacher (Senior Grade),1
17236,UP School Assistant,1
17237,Headmaster LP/UP,1
17237,L P School Assistant,4
17237,Office Attendant HG,1
17237,Teacher (U P School) Gr II,1
17238,Headmaster LP/UP (HG),1
17238,Junior Arabic Teacher Gr I,1
17238,Junior Arabic Teacher Gr II,2
17238,Office Attendant Gr II,1
17238,P D Teacher (Selection Grade),3
17238,Teacher (L P School) Gr II,3
17238,Teacher (U P School) Gr II,3
17238,UP School Assistant,1
17239,Headmaster LP/UP (HG),1
17239,LPSA(13210),1
17239,Teacher (LP/UP) - Arabic (Grade II),1
17239,Teacher (U P School) Gr II,1
17240,Headmaster LP/UP,1
17240,Primary Teacher (Hindi) (Part-Time),1
17240,Teacher (LP/UP) - Arabic (Grade II),1
17240,Teacher (U P School) Gr I,1
17240,UP School Assistant,1
17241,Headmaster/Headmistress LP/UP,1
17241,L P School Assistant,4
17241,Part Time Language Teacher (Primary),1
17241,Teacher (U P School) Gr II,1
17242,L P School Assistant,3
17242,L P School Assistant (HG),1
17242,Teacher (LP/UP) - Arabic (Grade II),1
17242,UP School Assistant (Snr Gr),1
17243,Headmaster/Headmistress LP/UP,1
17243,Junior Arabic Teacher Gr I,1
17243,P D Teacher (Senior Grade),1
17243,Primary Teacher (Arabic) (Part Time with Full Time Benefit) (Snr Gr),1
17243,Teacher (L P School) Gr I,2
17243,Teacher (L P School) Gr II,3
17243,Teacher (LP/UP) - Sanskrit (Senior Grade),1
17243,UP School Assistant,1
17244,Headmaster LP/UP (HG),1
17244,Primary Teacher (Hindi) (Part-Time),1
17244,Teacher (L P School) Gr I,1
17244,Teacher (L P School) Gr II,1
17245,Office Attendant Gr II,2
17245,Part Time Language Teacher (Primary),1
17245,Teacher (L P School) Gr I,3
17245,Teacher (LP/UP) - Arabic (Grade II),1
17246,Headmistress HG,1
17246,Office Attendant Gr II (27 Years HG),1
17246,Teacher (L P School)(Sel Gr),1
17246,Teacher (L P School)(Snr Gr),1
17247,Teacher (LP/UP) - Hindi (Sel Gr),1
17247,Teacher (LP/UP) - Sanskrit (Grade II),1
17247,Teacher (U P School) Gr II,2
17248,Headmaster/Headmistress LP/UP,1
17248,L P School Assistant,2
17248,Teacher (LP/UP) - Sanskrit (Grade I),1
17248,Teacher (U P School) Sel Gr,1
17249,FTM,1
17249,Junior Teacher Urdu Gr II,1
17249,L P School Assistant (Snr Gr),1
17249,Primary Teacher (Arabic)(Part Time),1
17249,UP School Assistant (Sel Gr),1
17250,Headmaster LP/UP (HG),1
17250,Office Attendant Gr I (22 Yrs HG),1
17250,Teacher (LP/UP) - Hindi (Grade II),1
17250,Teacher (LP/UP) - Sanskrit (Senior Grade),1
17251,Office Attendant Gr II (15 Yrs HG),1
17253,L P School Assistant,5
17253,L P School Assistant (HG),1
17253,Office Attendant Gr II (22 Years HG),1
17253,UP School Assistant (Snr Gr),1
17254,Junior Hindi Teacher Gr I,1
17254,Office Attendant Gr II,1
17254,Teacher (L P School) Gr II,3
17254,Teacher (L P School)(Snr Gr),1
17254,UP School Assistant,1
17258,Headmaster LP/UP,1
17261,Drawing Teacher Gr II,1
17261,L P School Assistant (Snr Gr),1
17261,Part Time Menial,1
17261,Physical Education Teacher,1
17261,Teacher (U P School) Gr II,3
17261,UP School Assistant (Snr Gr),1
17262,High School Assistant Arabic,1
17262,High School Assistant Natural Science (Snr Gr),1
17262,High School Assistant Physical Science,1
17262,L P School Assistant (HG),1
17262,P D Teacher (Selection Grade),1
17262,Part Time Menial(4250/8Yrs),1
17262,Part Time Sweeper(4850-7500),1
17262,Teacher Educator Snr Gr,1
17262,UP School Assistant (Sel Gr),1
17263,Attender,1
17263,Clerk,1
17263,L P School Assistant,4
17263,L P School Assistant (Snr Gr),4
17301,Headmaster/Headmistress LP/UP,1
17301,Junior Arabic Teacher Gr II,1
17301,L P School Assistant,2
17302,Headmaster LP/UP,1
17302,Teacher (L P School) Gr II,1
17303,Headmaster LP/UP,1
17303,L P School Assistant,3
17304,Headmaster LP/UP,1
17304,Part Time Menial (15 Yrs HG),1
17305,L P School Assistant,2
17306,Headmaster LP/UP,1
17306,L P School Assistant,1
17306,Teacher (L P School) Gr II,7
17307,Headmaster/Headmistress LP/UP,1
17307,L P School Assistant,1
17307,LPSA(13210),2
17307,Teacher (L P School) Gr II,3
17307,Teacher / Instructor (UP/LP) - Arabic (Grade II),1
17308,Full time Arabic Teacher HG,1
17308,L P School Assistant,3
17308,L P School Assistant HG,1
17309,Ayah,1
17309,Headmaster LP/UP,1
17309,L P School Assistant (Snr Gr),1
17309,Pre Primary Teacher Gr II,1
17309,Teacher (L P School) Gr II,4
17310,Headmaster/Headmistress LP/UP,1
17310,Teacher (L P School)(Snr Gr),2
17311,Headmaster/Headmistress LP/UP,1
17311,L P School Assistant,1
17312,Primary Teacher (Arabic) (Part Time with Full Time Benefit) (Snr Gr),1
17313,Headmaster LP/UP,1
17313,Teacher (L P School) Gr I,1
17313,Teacher (LP/UP) - Arabic (Senior Grade),1
17314,Headmaster LP/UP,1
17315,L P School Assistant (Sel.Gr),1
17315,Teacher (L P School) Gr I,1
17315,Teacher (L P School) Gr II,1
17315,Teacher (L P School)(Sel Gr),1
17317,Headmistress HG,1
17318,L P School Assistant,2
17319,L P School Assistant,15
17319,L P School Assistant (HG),1
17319,L P School Assistant (Sel.Gr),1
17319,Teacher (L P School) Gr II,1
17320,Headmaster LP/UP (HG),1
17320,L P School Assistant,2
17320,Teacher (L P School) Gr II,2
17321,Teacher (L P School) Gr II,1
17322,Headmaster/Headmistress LP/UP,1
17322,Primary Teacher (Arabic) (Part Time with Full Time Benefit) (Snr Gr),1
17322,Teacher (L P School) Gr II,3
17322,Teacher (L P School)(Snr Gr),5
17323,Headmaster LP/UP,1
17323,Teacher (L P School) Gr II,2
17324,Teacher (L P School) Gr II,1
17324,Teacher (L P School)(Snr Gr),1
17325,L P School Assistant,3
17325,L P School Assistant (Snr Gr),3
17325,Teacher (L P School) Gr II,1
17326,L P School Assistant,3
17326,L P School Assistant (HG),4
17326,Teacher (L P School) Gr II,1
17327,Junior Arabic Teacher Gr II,1
17327,L P School Assistant (Sel.Gr),1
17327,Teacher (L P School) Gr I,4
17328,Headmaster/Headmistress LP/UP,1
17329,Headmaster LP/UP (HG),1
17329,Junior Arabic Teacher Gr II,1
17330,Headmaster LP/UP (HG),1
17330,Teacher (LP/UP) - Arabic (Senior Grade),1
17331,Headmaster/Headmistress LP/UP,1
17332,Full time Arabic Teacher,1
17332,Headmaster/Headmistress LP/UP,1
17332,L P School Assistant,9
17332,P D Teacher (Selection Grade),2
17332,Teacher (U P School) Gr II,2
17332,UP School Assistant,7
17332,UP School Assistant Gr I,1
17333,Junior Hindi Teacher Gr II,1
17333,L P School Assistant,6
17333,L P School Assistant (Snr Gr),1
17333,P D Teacher (Senior Grade),4
17333,Part Time Junior Sanskrit Teacher,1
17333,UP School Assistant (HG),1
17334,Headmaster/Headmistress LP/UP,1
17334,Office Attendant,1
17334,P D Teacher (Senior Grade),1
17334,Teacher (L P School) Gr II,6
17334,Teacher (L P School)(Sel Gr),2
17334,Teacher (L P School)(Snr Gr),1
17334,Teacher (LP/UP) - Urdu (Grade I),1
17334,Teacher (U P School) Snr Gr,2
17335,Junior Arabic Teacher Gr I,1
17335,Junior Arabic Teacher Gr II,1
17335,Junior Hindi Teacher (Sr Gr),1
17335,L P School Assistant (HG),2
17335,Office Attendant,1
17335,Teacher (LP/UP) - Arabic (Grade II),1
17335,Teacher (LP/UP) - Sanskrit (Grade I),1
17335,UP School Assistant (HG),1
17336,Headmaster LP/UP,1
17336,Primary Teacher (Sanskrit) (Part Time),1
17336,Teacher (LP/UP) - Urdu (Grade I),1
17336,Teacher (U P School) Gr II,3
17336,Teacher (U P School) Snr Gr,1
17337,Drawing Teacher Snr Gr,1
17337,Headmaster LP/UP (HG),1
17337,Office Attendant Gr II (15 Yrs HG),1
17337,Teacher (L P School) Gr I,3
17337,Teacher (L P School)(Sel Gr),4
17337,Teacher (LP/UP) - Arabic (Grade I),1
17337,Teacher (U P School) Gr II,4
17338,Junior Hindi Teacher (Sr Gr),1
17338,Office Attendant,1
17338,Teacher (L P School) Gr I,3
17338,Teacher (LP/UP) - Hindi (Sr Gr),1
17338,Teacher (U P School) Gr II,1
17338,Teacher (U P School) Sel Gr,1
17338,Teacher (U P School) Snr Gr,3
17338,UP School Assistant Gr I,1
17338,UP School Assistant Grade I,2
17339,Headmaster LP/UP (HG),1
17339,Office Attendant Gr I (27  Yrs HG),1
17339,Teacher (L P School) Gr II,1
17339,Teacher (L P School)(Snr Gr),4
17339,Teacher (LP/UP) - Hindi (Sr Gr),1
17339,Teacher (U P School) Sel Gr,2
17339,Teacher (U P School) Snr Gr,3
17340,Headmaster/Headmistress LP/UP,1
17340,Junior Hindi Teacher Gr II,2
17340,L P School Assistant,5
17340,L P School Assistant (Snr Gr),4
17340,Office Attendant,1
17340,Office Attendant Gr I,1
17340,Teacher (L P School) Gr I,1
17340,Teacher (LP/UP) - Arabic (Grade I),2
17340,UP School Assistant,3
17340,UP School Assistant (Snr Gr),2
17401,L P School Assistant,4
17401,Part-Time Mineal (BP 3000),1
17402,Headmaster/Headmistress LP/UP,1
17402,Junior Arabic Teacher Gr I,1
17403,Headmaster/Headmistress LP/UP,1
17403,L P School Assistant,1
17403,L P School Assistant HG,1
17404,Headmaster LP/UP,1
17404,Primary Teacher (Arabic) (Part Time with Full Time Benefit),1
17405,Headmaster LP/UP,1
17405,Teacher (L P School) Gr II,1
17406,Headmistress HG,1
17406,P D Teacher (Selection Grade),1
17407,Headmaster/Headmistress LP/UP,1
17407,Teacher (L P School)(Snr Gr),1
17408,Headmaster LP/UP (HG),1
17408,Part Time Menial (22 Yrs HG),1
17408,Teacher (L P School) Gr II,5
17408,Teacher (LP/UP) - Arabic (Selection Grade),1
17409,Headmaster/Headmistress LP/UP,1
17409,L P School Assistant,3
17410,Headmaster LP/UP (HG),1
17410,Teacher (L P School) Gr I,1
17410,Teacher (LP/UP) - Arabic (Grade II),1
17411,Headmistress LP/UP,1
17411,L P School Assistant,1
17411,P D Teacher (Senior Grade),1
17412,Headmaster LP/UP (HG),1
17412,L P School Assistant,2
17413,Headmaster/Headmistress LP/UP,1
17413,L P School Assistant,2
17413,L P School Assistant (Snr Gr),2
17414,Headmaster LP/UP,1
17414,Teacher (L P School) Gr II,1
17415,Headmistress HG,1
17415,Teacher (L P School) Gr I,1
17416,L P School Assistant (Snr Gr),3
17416,Teacher (LP/UP) - Arabic (Grade II),1
17417,L P School Assistant (Snr Gr),4
17417,Teacher (L P School) Gr II,2
17418,Headmaster LP/UP,1
17418,Teacher (L P School) Gr II,2
17419,Headmaster LP/UP,1
17419,L P School Assistant,1
17419,L P School Assistant HG,1
17420,Teacher (L P School)(Sel Gr),2
17421,Headmistress HG,1
17422,Headmaster/Headmistress LP/UP,1
17422,L P School Assistant,1
17423,Headmaster/Headmistress LP/UP,1
17423,L P School Assistant (Snr Gr),1
17423,Teacher (L P School) Gr II,1
17424,Headmaster LP/UP,1
17424,Junior Arabic Teacher Gr I,1
17424,L P School Assistant (HG),4
17424,L P School Assistant HG,1
17425,Headmaster/Headmistress LP/UP,1
17425,Teacher (L P School) Gr I,1
17426,Headmaster LP/UP,1
17427,Headmaster/Headmistress LP/UP,1
17427,L P School Assistant (Snr Gr),2
17428,Headmaster/Headmistress LP/UP,1
17429,Full time Arabic Teacher (Snr Gr),1
17429,L P School Assistant (HG),1
17430,Full time Arabic Teacher (Snr Gr),1
17430,L P School Assistant (Snr Gr),1
17431,L P School Assistant (Snr Gr),1
17431,Primary Teacher (Arabic) (Part Time with Full Time Benefit) (Sel Gr),1
17432,Teacher (L P School) Gr II,3
17433,Headmaster LP/UP (HG),1
17433,Teacher (L P School) Gr II,1
17434,Headmistress HG,1
17434,Teacher (L P School)(Snr Gr),1
17436,L P School Assistant,1
17437,Headmaster/Headmistress LP/UP,1
17438,Headmaster LP/UP (HG),1
17438,L P School Assistant,3
17438,L P School Assistant (HG),1
17438,L P School Assistant (Sel.Gr),1
17439,Headmistress HG,1
17439,Teacher (L P School) Gr I,2
17440,Junior Arabic Teacher (Snr Gr),1
17440,L P School Assistant (Snr Gr),1
17440,Teacher (L P School) Gr II,1
17441,Teacher (L P School)(Snr Gr),1
17442,Headmaster LP/UP,1
17442,Teacher (L P School) Gr II,2
17443,Headmaster LP/UP,1
17443,L P School Assistant,2
17444,P D Teacher,1
17444,Part Time Menial,1
17444,Teacher (L P School)(Sel Gr),1
17444,Teacher (L P School)(Snr Gr),1
17445,Teacher (L P School) Gr II,4
17445,Teacher (LP/UP) - Arabic (Senior Grade),1
17446,L P School Assistant,1
17447,Headmaster/Headmistress LP/UP,1
17448,Headmaster LP/UP,1
17448,L P School Assistant (Snr Gr),1
17448,Teacher (L P School)(Snr Gr),1
17449,Headmaster/Headmistress LP/UP,1
17449,Junior Arabic Teacher Gr II,1
17449,L P School Assistant (Snr Gr),1
17449,P D Teacher (Senior Grade),4
17449,Sewing Teacher,1
17449,Teacher (U P School) Gr II,1
17449,UP School Assistant,1
17450,L P School Assistant,1
17450,L P School Assistant (HG),1
17450,Primary Teacher (Hindi) (Part-Time),1
17450,Teacher (L P School)(Sel Gr),1
17451,Headmaster LP/UP,1
17451,L P School Assistant (Sel.Gr),1
17451,P D Teacher (Senior Grade),2
17451,Part Time Primary Hindi Teacher,1
17451,Teacher (LP/UP) - Hindi (Grade II),1
17451,UP School Assistant,6
17452,Office Attendant Gr II,1
17452,P D Teacher,1
17452,Teacher (U P School) Gr II,2
17453,Headmaster LP/UP (HG),1
17453,Office Attendant,1
17453,Teacher (LP/UP) - Urdu (Grade I),1
17454,Headmaster/Headmistress LP/UP,1
17454,Office Attendant,1
17454,Primary Teacher (Arabic) (Part Time with Full Time Benefit) HG,1
17454,Teacher (L P School)(Sel Gr),1
17454,Teacher (L P School)(Snr Gr),1
17454,Teacher (LP/UP) - Hindi (Grade II),1
17454,Teacher (LP/UP) - Sanskrit (Grade I),1
17455,Headmaster/Headmistress LP/UP,1
17455,L P School Assistant (Snr Gr),1
17455,Teacher (L P School) Gr II,1
17457,Headmaster/Headmistress LP/UP,1
17457,L P School Assistant (Snr Gr),1
17457,Teacher (L P School) Gr II,1
17457,Teacher (L P School)(Snr Gr),3
17457,Teacher (LP/UP) - Urdu (Grade II),1
17457,Teacher (U P School) Gr I,1
17458,Headmaster LP/UP,1
17458,Office Attendant Gr I,1
17458,Primary Teacher (Urdu) (Part Time with Full Time Benefit) HG,1
17458,Teacher (L P School)(Snr Gr),2
