school_code,total_area_acre,solar_power,drinking_water,net_connectivity,total_class_room,multi_media_room,total_smart_class_room,little_kites,total_staff_room,computer_lab,science_lab,survey_number_s,total_no_of_computers_available_in_the_school,total_no_of_printers_available_in_the_school,first_aid_room,public_addressing_system,kitchen,cctv,store_book_stationary,tv_hall,canteen,rainwater_harvesting,land_obtained_for_establishing_school,play_ground,waste_management_system,autism_park,dining_hall,auditorium,indoor_stadium,students_police,music_class_room,activities,agricultural_activity,land_protected_by,toilet,she_toilet,no_of_toilets_for_boys,no_of_toilets_for_girls,no_of_urinals_for_boys,no_of_urinals_for_girls,parking_space,garden,transportation,hostel_facility,building_type,bio_gas,incinerator_facility,building_plinth_area,building_ownership,library,electrification
28008,3 Acres,No,Well,Yes,66.0,Yes,32.0,Yes,5.0,Yes,Yes,"94/9,896/10,896/11,847/1,897/2",84.0,5.0,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Owned by Manager,Yes  Football / Volleyball / Badminton,Yes,No,Yes,Yes,No,No,No,NCC,Yes,Fully,Yes,Yes,8.0,15.0,22.0,11.0,Yes,Yes,,No,Pucaa,No,Yes,73710.78,Owned,YesNo of books: 6675,Yes
37343,1.85,No,Well,Yes,3.0,No,0.0,No,1.0,No,No,556/9,0.0,0.0,No,No,Yes,No,No,No,No,No,Owned by Manager,Yes  Football / Volleyball,No,No,Yes,Yes,No,No,No,,Yes,Partially,Yes,Yes,1.0,1.0,0.0,1.0,Yes,Yes,,No,Pucaa,No,No,175 sq.m,Owned,YesNo of books: 150,Yes
22066,3 ACRA 2 CENT,No,Borewll,Yes,34.0,Yes,24.0,Yes,2.0,Yes,Yes,625,32.0,2.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Pvt. Management Handover to Govt.,Yes  Football / Volleyball / Badminton,Yes,No,No,No,No,No,No,Scouts & Guides,Yes,Fully,Yes,Yes,11.0,17.0,31.0,9.0,Yes,Yes,,No,Pucaa,No,Yes,2100SM,Owned,YesNo of books: 2095,Yes
29015,7.5 Acre,No,Public Tap,Yes,8.0,No,8.0,No,2.0,Yes,Yes,161/1,29.0,5.0,No,Yes,Yes,Yes,Yes,Yes,No,No,Government Owned,Yes  Football,No,No,No,Yes,No,No,No,JRC,Yes,Partially,Yes,Yes,6.0,16.0,8.0,0.0,Yes,Yes,,No,Pucaa,No,Yes,12600,Owned,YesNo of books: 10000,Yes
13828,.38,No,Well,No,5.0,Yes,5.0,No,1.0,Yes,Yes,8/92,5.0,0.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Donated by well wishers,Yes  Football / Volleyball / Badminton,Yes,No,Yes,Yes,No,No,No,Scouts & Guides,Yes,Partially,Yes,No,2.0,4.0,2.0,4.0,Yes,Yes,,No,Pucaa,No,No,2800 sqft,Owned,YesNo of books: 825,Yes
21231,0.15,No,Well,Yes,5.0,No,0.0,No,1.0,Yes,No,145/7,4.0,1.0,No,Yes,Yes,No,No,No,No,No,Owned by Manager,No,Yes,No,No,Yes,No,No,No,,No,Partially,Yes,Yes,1.0,1.0,1.0,1.0,No,No,,No,Pucaa,No,No,2000 sq ft,Owned,YesNo of books: 1000,Yes
17035,2.52 Acre,No,Well,Yes,56.0,Yes,28.0,Yes,4.0,Yes,Yes,"42/2,42/4,42/5",38.0,3.0,No,Yes,Yes,Yes,Yes,No,Yes,No,Government Owned,Yes  Football,Yes,No,Yes,Yes,No,Yes,Yes,JRC,Yes,Fully,Yes,Yes,10.0,20.0,13.0,20.0,No,No,,No,Pucaa,No,No,1608mtrsqr,Owned,YesNo of books: 17550,Yes
12425,1acre,No,Well,Yes,12.0,No,0.0,No,1.0,Yes,No,112/11A,13.0,1.0,No,Yes,Yes,No,No,No,No,Yes,Owned by Manager,Yes  Football / Volleyball / Badminton,Yes,No,No,Yes,No,No,No,Scouts & Guides,Yes,Nil,Yes,No,5.0,7.0,2.0,6.0,Yes,Yes,School Bus,No,Pucaa,No,No,899.65m2,Owned,YesNo of books: 1788,Yes
18025,4.5,Yes,Well,Yes,95.0,Yes,40.0,Yes,7.0,Yes,Yes,1). 29/51.  (2)29/11,60.0,5.0,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Donated by an Organization,Yes  Football / Volleyball / Badminton,No,Yes,No,Yes,No,No,No,Scouts & Guides,Yes,Fully,Yes,Yes,10.0,37.0,44.0,33.0,Yes,Yes,,No,Pucaa,No,Yes,13200 sqft,Owned,YesNo of books: 4268,Yes
39245,1.5 Acre,No,Borewll,Yes,13.0,Yes,1.0,No,2.0,Yes,Yes,153/8,6.0,2.0,Yes,Yes,No,No,Yes,No,No,Yes,Donated by an Organization,Yes  Football,Yes,No,Yes,Yes,No,No,No,,Yes,Fully,Yes,Yes,8.0,10.0,10.0,12.0,Yes,Yes,School Bus,No,Pucaa,Yes,Yes,620 sq mtr,Owned,YesNo of books: 770,Yes
